,Rank_x,Name,Successful raids,Season,Rank_y,Raid points,Rank,Position,Matches played,Avg raid points,Team
0,1.0,Pardeep Narwal,836.0,ALL SEASONS,1.0,1101.0,1.0,Raider,104.0,10.69,Patna Pirates
1,2.0,Rahul Chaudhari,776.0,ALL SEASONS,2.0,943.0,6.0,Raider,120.0,7.86,Tamil Thalaivas
2,3.0,Deepak Niwas Hooda,698.0,ALL SEASONS,3.0,856.0,9.0,All Rounder,123.0,6.96,Jaipur Pink Panthers
3,4.0,Ajay Thakur,640.0,ALL SEASONS,4.0,790.0,11.0,Raider,115.0,6.87,Tamil Thalaivas
4,5.0,Maninder Singh,586.0,ALL SEASONS,5.0,731.0,4.0,Raider,79.0,9.25,Bengal Warriors
5,6.0,Rohit Kumar,545.0,ALL SEASONS,6.0,664.0,8.0,Raider,89.0,7.55,Bengaluru Bulls
6,6.0,Rohit Kumar,545.0,ALL SEASONS,224.0,2.0,8.0,Raider,89.0,7.55,Bengaluru Bulls
7,225.0,Rohit Kumar,1.0,ALL SEASONS,6.0,664.0,8.0,Raider,89.0,7.55,Bengaluru Bulls
8,225.0,Rohit Kumar,1.0,ALL SEASONS,224.0,2.0,8.0,Raider,89.0,7.55,Bengaluru Bulls
9,7.0,Rishank Devadiga,467.0,ALL SEASONS,7.0,595.0,23.0,Raider,117.0,5.09,Up Yoddha
10,8.0,Pawan Kumar Sehrawat,445.0,ALL SEASONS,8.0,578.0,5.0,Raider,75.0,8.03,Bengaluru Bulls
11,9.0,Kashiling Adake,424.0,ALL SEASONS,9.0,561.0,16.0,Raider,92.0,6.1,Bengaluru Bulls
12,10.0,Anup Kumar,421.0,ALL SEASONS,10.0,527.0,18.0,Raider,91.0,5.79,Jaipur Pink Panthers
13,11.0,Monu Goyat,377.0,ALL SEASONS,12.0,453.0,15.0,Raider,69.0,6.57,Up Yoddha
14,12.0,Nitin Tomar,366.0,ALL SEASONS,14.0,431.0,14.0,Raider,66.0,6.63,Puneri Paltan
15,12.0,Jang Kun Lee,366.0,ALL SEASONS,11.0,460.0,29.0,Raider,103.0,4.47,Patna Pirates
16,14.0,Naveen Kumar,357.0,ALL SEASONS,15.0,428.0,2.0,Raider,42.0,10.19,Dabang Delhi Kc
17,15.0,Sachin Tanwar,356.0,ALL SEASONS,13.0,433.0,11.0,Raider,63.0,6.87,Gujarat Fortunegiants
18,16.0,Siddharth Sirish Desai,312.0,ALL SEASONS,16.0,392.0,3.0,Raider,39.0,10.05,Telugu Titans
19,17.0,Vikash Kandola,302.0,ALL SEASONS,18.0,386.0,7.0,Raider,51.0,7.57,Haryana Steelers
20,18.0,Jasvir Singh,295.0,ALL SEASONS,19.0,380.0,24.0,Raider,77.0,5.0,Tamil Thalaivas
21,19.0,Sukesh Hegde,294.0,ALL SEASONS,16.0,392.0,36.0,Raider,97.0,4.04,Bengal Warriors
22,20.0,Prashanth Kumar Rai,286.0,ALL SEASONS,20.0,370.0,35.0,Raider,94.0,4.07,Haryana Steelers
23,21.0,K. Prapanjan,284.0,ALL SEASONS,21.0,363.0,28.0,Raider,81.0,4.54,Bengal Warriors
24,22.0,Shrikant Jadhav,276.0,ALL SEASONS,22.0,358.0,22.0,Raider,72.0,5.11,Up Yoddha
25,23.0,Chandran Ranjit,255.0,ALL SEASONS,24.0,316.0,19.0,Raider,61.0,5.18,Dabang Delhi Kc
26,24.0,Meraj Sheykh,249.0,ALL SEASONS,23.0,339.0,49.0,All Rounder,95.0,3.61,Dabang Delhi Kc
27,25.0,Deepak Narwal,244.0,ALL SEASONS,25.0,311.0,41.0,Raider,81.0,3.89,Jaipur Pink Panthers
28,26.0,Nilesh Salunke,229.0,ALL SEASONS,26.0,303.0,40.0,Raider,79.0,3.99,Jaipur Pink Panthers
29,27.0,Rajesh Narwal,224.0,ALL SEASONS,27.0,284.0,55.0,All Rounder,92.0,3.26,Dabang Delhi Kc
30,28.0,Rohit Baliyan,223.0,ALL SEASONS,30.0,269.0,34.0,Raider,68.0,4.08,U Mumba
31,29.0,Wazir Singh,221.0,ALL SEASONS,28.0,278.0,17.0,Raider,47.0,6.04,Haryana Steelers
