,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Position,Matches played,Avg tackle points,Team
0,1.0,Manjeet Chhillar,324.0,ALL SEASONS,1.0,339.0,5.0,All Rounder,108.0,3.14,Tamil Thalaivas
1,2.0,Ravinder Pahal,301.0,ALL SEASONS,2.0,320.0,9.0,"Defender, Right Corner",109.0,2.94,Dabang Delhi Kc
2,3.0,Fazel Atrachali,277.0,ALL SEASONS,4.0,295.0,8.0,"Defender, Left Corner",98.0,3.01,U Mumba
3,4.0,Sandeep Narwal,268.0,ALL SEASONS,3.0,296.0,21.0,All Rounder,120.0,2.47,U Mumba
4,5.0,Mohit Chhillar,254.0,ALL SEASONS,5.0,277.0,17.0,"Defender, Right Corner",109.0,2.54,Tamil Thalaivas
5,6.0,PO Surjeet Singh,250.0,ALL SEASONS,6.0,266.0,10.0,"Defender, Right Cover",92.0,2.89,Puneri Paltan
6,7.0,Girish Maruti Ernak,245.0,ALL SEASONS,7.0,259.0,20.0,"Defender, Left Corner",104.0,2.49,Puneri Paltan
7,8.0,Dharmaraj Cheralathan,232.0,ALL SEASONS,8.0,257.0,26.0,"Defender, Right And Left Corner",116.0,2.22,Haryana Steelers
8,9.0,Ran Singh,217.0,ALL SEASONS,9.0,229.0,36.0,All Rounder,118.0,1.94,Tamil Thalaivas
9,10.0,Amit Hooda,211.0,ALL SEASONS,9.0,229.0,12.0,"Defender, Right Corner",86.0,2.66,Jaipur Pink Panthers
10,11.0,Surender Nada,206.0,ALL SEASONS,12.0,222.0,7.0,"Defender, Left Corner",71.0,3.13,Haryana Steelers
11,12.0,Jeeva Kumar,205.0,ALL SEASONS,11.0,227.0,31.0,"Defender, Right And Left Cover",112.0,2.03,Bengal Warriors
12,13.0,Vishal Mane,185.0,ALL SEASONS,16.0,194.0,58.0,"Defender, Right Cover",125.0,1.55,Dabang Delhi Kc
13,14.0,Sandeep Kumar Dhull,183.0,ALL SEASONS,13.0,201.0,5.0,"Defender, Left Corner",64.0,3.14,Jaipur Pink Panthers
14,15.0,Nitesh Kumar,182.0,ALL SEASONS,15.0,197.0,4.0,Defender,62.0,3.18,Up Yoddha
