,Rank_xx,Name,Successful raids,Season,Rank_yy,Raid points,Rank_x,Avg raid points,Rank_y,Do-or-Die raid points
0,1.0,Patna Pirates,2066.0,ALL SEASONS,1.0,2633.0,1.0,20.1,2.0,467.0
1,2.0,Telugu Titans,1843.0,ALL SEASONS,2.0,2286.0,3.0,18.74,8.0,434.0
2,3.0,Bengaluru Bulls,1810.0,ALL SEASONS,2.0,2286.0,5.0,18.29,4.0,456.0
3,4.0,U Mumba,1803.0,ALL SEASONS,4.0,2267.0,8.0,17.99,5.0,455.0
4,5.0,Bengal Warriors,1786.0,ALL SEASONS,5.0,2236.0,9.0,17.89,7.0,446.0
5,6.0,Dabang Delhi K.C.,1783.0,ALL SEASONS,6.0,2225.0,6.0,18.24,6.0,447.0
6,7.0,Jaipur Pink Panthers,1688.0,ALL SEASONS,7.0,2144.0,,,2.0,467.0
7,8.0,Puneri Paltan,1687.0,ALL SEASONS,8.0,2116.0,,,1.0,518.0
8,9.0,Gujarat Fortunegiants,992.0,ALL SEASONS,10.0,1205.0,10.0,17.46,10.0,231.0
9,10.0,Haryana Steelers,978.0,ALL SEASONS,9.0,1228.0,2.0,19.19,,
10,1.0,Dabang Delhi K.C.,361.0,SEASON 7,1.0,437.0,1.0,21.85,10.0,50.0
11,2.0,Bengal Warriors,340.0,SEASON 7,2.0,426.0,2.0,21.3,9.0,53.0
12,3.0,Bengaluru Bulls,309.0,SEASON 7,3.0,393.0,3.0,20.68,,
13,4.0,Patna Pirates,291.0,SEASON 7,5.0,368.0,5.0,19.37,4.0,69.0
14,5.0,Puneri Paltan,290.0,SEASON 7,6.0,358.0,7.0,17.9,6.0,60.0
15,5.0,Haryana Steelers,290.0,SEASON 7,4.0,377.0,4.0,19.84,2.0,71.0
16,7.0,Tamil Thalaivas,275.0,SEASON 7,7.0,344.0,8.0,17.2,8.0,55.0
17,8.0,Telugu Titans,273.0,SEASON 7,9.0,332.0,6.0,18.44,,
18,9.0,Gujarat Fortunegiants,265.0,SEASON 7,,,,,7.0,59.0
19,10.0,Jaipur Pink Panthers,261.0,SEASON 7,8.0,337.0,10.0,16.85,1.0,73.0
20,1.0,Haryana Steelers,33.0,SEASON 6,7.0,447.0,3.0,20.32,,
21,2.0,Jaipur Pink Panthers,32.0,SEASON 6,10.0,415.0,9.0,18.86,5.0,75.0
22,3.0,Patna Pirates,30.0,SEASON 6,2.0,496.0,2.0,22.55,,
23,3.0,U.P. Yoddha,30.0,SEASON 6,6.0,449.0,10.0,17.96,2.0,86.0
24,5.0,Puneri Paltan,29.0,SEASON 6,,,,,9.0,71.0
25,6.0,Dabang Delhi K.C.,28.0,SEASON 6,3.0,483.0,4.0,20.13,7.0,73.0
26,7.0,Tamil Thalaivas,27.0,SEASON 6,9.0,419.0,7.0,19.05,10.0,67.0
27,8.0,Telugu Titans,25.0,SEASON 6,,,,,3.0,85.0
28,9.0,Bengaluru Bulls,24.0,SEASON 6,1.0,547.0,1.0,22.79,7.0,73.0
29,10.0,Bengal Warriors,23.0,SEASON 6,8.0,436.0,8.0,18.96,3.0,85.0
30,1.0,Patna Pirates,487.0,SEASON 5,1.0,637.0,1.0,24.5,4.0,95.0
31,2.0,Bengal Warriors,379.0,SEASON 5,3.0,455.0,4.0,18.96,9.0,87.0
32,3.0,U.P. Yoddha,358.0,SEASON 5,2.0,461.0,2.0,20.04,,
33,4.0,Tamil Thalaivas,351.0,SEASON 5,5.0,410.0,5.0,18.64,7.0,89.0
34,5.0,Bengaluru Bulls,336.0,SEASON 5,9.0,393.0,7.0,17.86,6.0,93.0
35,6.0,Gujarat Fortunegiants,335.0,SEASON 5,6.0,405.0,9.0,16.88,3.0,98.0
