,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Matches played,Avg tackle points
0,1.0,U Mumba,1216.0,ALL SEASONS,1.0,1317.0,2.0,126.0,10.45
1,2.0,Patna Pirates,1176.0,ALL SEASONS,2.0,1303.0,5.0,131.0,9.95
2,3.0,Puneri Paltan,1159.0,ALL SEASONS,3.0,1276.0,3.0,126.0,10.13
3,4.0,Bengaluru Bulls,1086.0,ALL SEASONS,6.0,1172.0,9.0,125.0,9.38
4,5.0,Telugu Titans,1067.0,ALL SEASONS,5.0,1176.0,6.0,122.0,9.64
5,6.0,Jaipur Pink Panthers,1055.0,ALL SEASONS,4.0,1179.0,8.0,124.0,9.51
6,7.0,Bengal Warriors,1025.0,ALL SEASONS,7.0,1118.0,10.0,125.0,8.94
7,8.0,Dabang Delhi K.C.,998.0,ALL SEASONS,8.0,1087.0,,,
8,9.0,Gujarat Fortunegiants,687.0,ALL SEASONS,9.0,731.0,1.0,69.0,10.59
9,10.0,U.P. Yoddha,600.0,ALL SEASONS,10.0,658.0,4.0,66.0,9.97
10,1.0,Puneri Paltan,207.0,SEASON 7,1.0,232.0,1.0,20.0,11.6
11,2.0,Jaipur Pink Panthers,189.0,SEASON 7,2.0,219.0,2.0,20.0,10.95
12,3.0,Gujarat Fortunegiants,187.0,SEASON 7,3.0,203.0,5.0,20.0,10.15
13,4.0,Bengal Warriors,182.0,SEASON 7,5.0,192.0,10.0,20.0,9.6
14,5.0,Dabang Delhi K.C.,181.0,SEASON 7,9.0,187.0,,,
15,5.0,Haryana Steelers,181.0,SEASON 7,4.0,195.0,4.0,19.0,10.26
16,7.0,U.P. Yoddha,177.0,SEASON 7,5.0,192.0,3.0,18.0,10.67
17,8.0,Bengaluru Bulls,168.0,SEASON 7,7.0,191.0,7.0,19.0,10.05
18,8.0,U Mumba,168.0,SEASON 7,10.0,183.0,9.0,19.0,9.63
19,8.0,Patna Pirates,168.0,SEASON 7,7.0,191.0,7.0,19.0,10.05
20,1.0,U Mumba,274.0,SEASON 6,1.0,289.0,1.0,23.0,12.57
21,2.0,Gujarat Fortunegiants,258.0,SEASON 6,2.0,274.0,2.0,25.0,10.96
22,3.0,U.P. Yoddha,240.0,SEASON 6,3.0,265.0,3.0,25.0,10.6
23,4.0,Bengaluru Bulls,219.0,SEASON 6,5.0,230.0,7.0,24.0,9.58
24,5.0,Jaipur Pink Panthers,202.0,SEASON 6,6.0,225.0,5.0,22.0,10.23
25,5.0,Telugu Titans,202.0,SEASON 6,4.0,233.0,4.0,22.0,10.59
26,7.0,Dabang Delhi K.C.,198.0,SEASON 6,8.0,216.0,9.0,24.0,9.0
27,8.0,Puneri Paltan,189.0,SEASON 6,7.0,219.0,6.0,22.0,9.95
28,9.0,Bengal Warriors,186.0,SEASON 6,10.0,200.0,,,
29,9.0,Patna Pirates,186.0,SEASON 6,9.0,201.0,8.0,22.0,9.14
30,1.0,Puneri Paltan,252.0,SEASON 5,1.0,271.0,1.0,24.0,11.29
31,2.0,Gujarat Fortunegiants,242.0,SEASON 5,2.0,254.0,2.0,24.0,10.58
32,3.0,Patna Pirates,226.0,SEASON 5,3.0,252.0,4.0,26.0,9.69
33,4.0,Haryana Steelers,206.0,SEASON 5,4.0,227.0,3.0,23.0,9.87
34,5.0,Telugu Titans,191.0,SEASON 5,5.0,207.0,5.0,22.0,9.41
35,6.0,Bengaluru Bulls,185.0,SEASON 5,9.0,200.0,8.0,22.0,9.09
36,7.0,Tamil Thalaivas,184.0,SEASON 5,7.0,201.0,7.0,22.0,9.14
37,8.0,U.P. Yoddha,183.0,SEASON 5,7.0,201.0,9.0,23.0,8.74
38,9.0,Bengal Warriors,181.0,SEASON 5,10.0,193.0,10.0,24.0,8.04
39,10.0,U Mumba,176.0,SEASON 5,6.0,202.0,6.0,22.0,9.18
40,1.0,Telugu Titans,157.0,SEASON 4,2.0,162.0,2.0,16.0,10.13
41,2.0,Patna Pirates,145.0,SEASON 4,1.0,171.0,1.0,16.0,10.69
42,3.0,Puneri Paltan,140.0,SEASON 4,3.0,146.0,4.0,16.0,9.13
43,4.0,Jaipur Pink Panthers,119.0,SEASON 4,4.0,135.0,8.0,16.0,8.44
44,5.0,Bengal Warriors,117.0,SEASON 4,6.0,125.0,5.0,14.0,8.93
45,6.0,Dabang Delhi K.C.,116.0,SEASON 4,5.0,134.0,3.0,14.0,9.57
46,7.0,U Mumba,110.0,SEASON 4,8.0,121.0,7.0,14.0,8.64
47,8.0,Bengaluru Bulls,109.0,SEASON 4,7.0,124.0,6.0,14.0,8.86
48,1.0,Patna Pirates,175.0,SEASON 3,2.0,182.0,2.0,16.0,11.38
49,2.0,Puneri Paltan,174.0,SEASON 3,1.0,187.0,1.0,16.0,11.69
50,3.0,U Mumba,163.0,SEASON 3,3.0,169.0,3.0,16.0,10.56
51,4.0,Bengal Warriors,137.0,SEASON 3,4.0,150.0,4.0,16.0,9.38
52,5.0,Jaipur Pink Panthers,101.0,SEASON 3,5.0,117.0,5.0,14.0,8.36
53,5.0,Telugu Titans,101.0,SEASON 3,6.0,116.0,6.0,14.0,8.29
54,7.0,Dabang Delhi K.C.,98.0,SEASON 3,7.0,111.0,7.0,14.0,7.93
55,8.0,Bengaluru Bulls,94.0,SEASON 3,8.0,100.0,8.0,14.0,7.14
56,1.0,U Mumba,180.0,SEASON 2,1.0,196.0,1.0,16.0,12.25
57,2.0,Telugu Titans,158.0,SEASON 2,2.0,172.0,2.0,16.0,10.75
58,2.0,Bengaluru Bulls,158.0,SEASON 2,3.0,164.0,3.0,16.0,10.25
59,4.0,Patna Pirates,152.0,SEASON 2,3.0,164.0,3.0,16.0,10.25
60,5.0,Jaipur Pink Panthers,124.0,SEASON 2,5.0,142.0,5.0,14.0,10.14
